Month Year,LGA Region,Approved Sites,Operational Sites,Approved EGMs,Operational EGMs,Metered Win,Machine %,Win/machine,,,,,
Mar-15,MCKINLAY,1,,10,,,0,#DIV/0!,,,,,
Apr-15,MCKINLAY,1,,10,,,0,#DIV/0!,,,,,
May-15,MCKINLAY,1,,10,,,0,#DIV/0!,,,,,
Jun-15,MCKINLAY,1,,10,,,0,#DIV/0!,,,,,
Jul-15,MCKINLAY,1,,10,,,0,#DIV/0!,,,,,
Aug-15,MCKINLAY,1,,10,,,0,#DIV/0!,,,,,
Sep-15,MCKINLAY,1,,10,,,0,#DIV/0!,,,,,
Oct-15,MCKINLAY,1,,10,,,0,#DIV/0!,,,,,
Nov-15,MCKINLAY,1,,10,,,0,#DIV/0!,,,,,
Dec-15,MCKINLAY,1,,10,,,0,#DIV/0!,,,,,
Jan-16,MCKINLAY,1,,10,,,0,#DIV/0!,,,,,
Feb-16,MCKINLAY,1,,10,,,0,#DIV/0!,,,,,
Mar-16,MCKINLAY,1,,10,,,0,#DIV/0!,,,,,
Apr-16,MCKINLAY,1,,10,,,0,#DIV/0!,,,,,
May-16,MCKINLAY,1,,10,,,0,#DIV/0!,,,,,
Jun-16,MCKINLAY,1,,10,,,0,#DIV/0!,,,,,
Jul-16,MCKINLAY,1,,10,,,0,#DIV/0!,,,,,
Aug-16,MCKINLAY,1,,10,,,0,#DIV/0!,,,,,
Sep-16,MCKINLAY,1,,10,,,0,#DIV/0!,,,,,
Aug-18,LOGAN,37,35,2142,1964,16042828.37,91.69000934,8168.446217,,,,,
Jul-18,LOGAN,37,35,2142,2004,15696637.97,93.55742297,7832.653678,,,,,
Aug-17,LOGAN,38,35,2118,2013,15165116.75,95.04249292,7533.59004,,,,,
Jul-16,LOGAN,39,36,2148,2009,14901068.34,93.52886406,7417.156964,,,,,
Jul-17,LOGAN,38,36,2138,2027,14835782.61,94.80823199,7319.083675,,,,,
Aug-16,LOGAN,39,36,2138,2018,14640103.36,94.38727783,7254.75885,,,,,
Sep-18,LOGAN,37,35,2142,1923,13878526.29,89.77591036,7217.122356,,,,,
Jul-15,LOGAN,38,37,2098,2031,14643456.79,96.80648236,7209.973801,,,,,
Aug-15,LOGAN,38,37,2098,2031,14535285.71,96.80648236,7156.713791,,,,,
Oct-17,LOGAN,38,35,2118,2013,14346105.46,95.04249292,7126.728992,,,,,
Dec-17,LOGAN,37,35,2128,2008,14205561.28,94.36090226,7074.482709,,,,,
Oct-18,LOGAN,37,35,2142,1937,13607184.06,90.42950514,7024.875612,,,,,
Nov-17,LOGAN,38,35,2128,2012,14092840.47,94.54887218,7004.393872,,,,,
Sep-17,LOGAN,38,35,2118,2012,14088238.01,94.99527856,7002.106367,,,,,
Jun-18,LOGAN,37,35,2142,2000,13675305.08,93.37068161,6837.65254,,,,,
